Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Knut,Evensen,Bakkesvingen 1,Solheim,4044,Norge,NO,19501023-1353,+47,+47 01 73 52 34,1950-10-23,True
Linnea,Bengtsson,Backvägen 25,Kristianstad,71582,Sverige,SE,19570530-9401,+46,0133-328 23,1957-05-30,True
Jesse,Reed,Garcia Junction 075,New Connie,27044,Danmark,DK,19630526-6830,+45,4987632579,1963-05-26,True
Grethe,Berge,Haugstykket 4,Anettesand,0611,Norge,NO,19751023-8762,+47,30 36 17 71,1975-10-23,True
Carl,Knutsson,Kyrkogränd 53,Uppsala,80316,Sverige,SE,19931202-8790,+46,016-38 73 08,1993-12-02,True
Eeva,Mäkelä,Järkäletie 941,Ypäjä,68712,Finland,FI,19470304-424L,+358,+358575815708,1947-03-04,True
Jennifer,Haley,Reeves Light 911,Davidmouth,79393,Danmark,DK,19831017-2953,+45,4424026039,1983-10-17,True
Janice,Garrett,Rebekah Pike 97460,West Sarahhaven,56155,Danmark,DK,19601006-9397,+45,(204)721-6220x1384,1960-10-06,True
Klara,Hasan,Ängsgatan 942,Varberg,22665,Sverige,SE,19640128-4427,+46,0085-28 90 21,1964-01-28,True
Lars,Hansson,Parkgatan 5,Östersund,49247,Sverige,SE,19770925-8555,+46,095-65 97 23,1977-09-25,True
Amanda,Rantanen,Neulapadonkuja 3,Tuusniemi,83709,Finland,FI,19560417-751K,+358,+358 87 1878611,1956-04-17,True
Alma,Carlsson,Industritorget 891,Linköping,23512,Sverige,SE,19730301-7999,+46,08-576 954 74,1973-03-01,True
Paul,Mitchell,Kimberly Wells 685,Freemanberg,15324,Danmark,DK,19490112-2214,+45,+1-562-590-9888x97417,1949-01-12,True
Steinar,Bakke,Strømhøgda 3,Jørgensen,6603,Norge,NO,19450101-8881,+47,+4761869348,1945-01-01,True
Elin,Strand,Danielsenmyra 49C,Tveit,9048,Norge,NO,19620526-3693,+47,21 97 43 25,1962-05-26,True
Daniel,Nielsen,Ekgränd 9,Borås,57236,Sverige,SE,19920721-8894,+46,08-375 710 76,1992-07-21,True
Karl,Abdi,Skolgatan 8,Östersund,52304,Sverige,SE,19590827-7967,+46,+46 (0)8 643 977 73,1959-08-27,True
Bengt,Petersson,Nystigen 2,Uddevalla,53304,Sverige,SE,19700330-7290,+46,+46 (0)656 368 72,1970-03-30,True
Stacie,Crawford,Hughes Unions 574,Port Thomas,26594,Danmark,DK,19460117-6062,+45,001-880-755-9644,1946-01-17,True
Bengt,Jonsson,Kyrkstigen 957,Alingsås,14230,Sverige,SE,19950331-2380,+46,+46 (0)20 62 49 44,1995-03-31,True
Anna,Ståhl,Nytorget 88,Borås,35785,Sverige,SE,19401213-2352,+46,08-69 81 85,1940-12-13,True
Olga,Karlsson,Järnvägstorget 05,Nyköping,53305,Sverige,SE,19760108-4490,+46,+46 (0)8 856 686 83,1976-01-08,True
Ralf,Ohlsson,Ringgatan 0,Falun,97965,Sverige,SE,19841212-9116,+46,048-790 54 81,1984-12-12,True
Ruth,Helland,Engenmoen 9,Erikvik,9427,Norge,NO,19490228-3308,+47,87 11 48 72,1949-02-28,True
Jennifer,Hart,Le Tunnel 82554,Julietown,02240,Danmark,DK,19620909-2422,+45,5222534744,1962-09-09,True
Göran,Öberg,Strandtorget 8,Örnsköldsvik,31070,Sverige,SE,19570910-5608,+46,08-782 77 49,1957-09-10,True
Angela,Sparks,Jefferson Burgs 78428,Johnsonside,38803,Danmark,DK,19451206-2832,+45,475.683.2843x7135,1945-12-06,True
Francisco,Hoffman,Edwards Alley 286,Martinborough,38176,Danmark,DK,19640123-3739,+45,001-828-515-0566x874,1964-01-23,True
Damon,Thomas,Alan Extensions 2609,Grahamfurt,27578,Danmark,DK,19780708-4255,+45,952.824.7100x4754,1978-07-08,True
Oskar,Jansson,Skolvägen 912,Trelleborg,34403,Sverige,SE,19780123-4508,+46,08-05 71 96,1978-01-23,True
Alice,Jakobsson,Stationsgränd 445,Lidköping,65949,Sverige,SE,19910308-2686,+46,08-91 32 68,1991-03-08,True
Cecilia,Dahl,Grangränd 204,Landskrona,83048,Sverige,SE,19731011-3568,+46,08-632 40 06,1973-10-11,True
Daniel,Thorén,Granvägen 706,Luleå,30891,Sverige,SE,19590821-4076,+46,+46 (0)8 663 019 43,1959-08-21,True
Michael,Walker,Rivers Circle 45140,Port Stacyside,75723,Danmark,DK,19710223-4894,+45,893.227.6191x240,1971-02-23,True
Malin,Tveit,Eliassentoppen 3,Magnusborg,4351,Norge,NO,19691206-2912,+47,71 65 35 83,1969-12-06,True
Terje,Ødegård,Aasberget 202,Henriksen,1211,Norge,NO,19460322-3684,+47,436 65 980,1946-03-22,True
Ola,Svensson,Kyrkovägen 73,Malmö,44278,Sverige,SE,19910905-6848,+46,+46 (0)83 79 26 64,1991-09-05,True
Matilda,Saleh,Björkgränd 0,Kalmar,81985,Sverige,SE,19591217-9387,46,0183-18 75 18,1959-12-17,True
Stian,Haugland,Isaksensvingen 5,Arnesen,6064,Norge,NO,19400806-6772,+47,37057887,1940-08-06,True
Ellen,Lindgren,Kyrkogränd 63,Motala,69852,Sverige,SE,19711226-5956,+46,069-61 44 42,1971-12-26,True
Charles,Rivera,Robertson Gateway 75802,North Donaldside,83211,Danmark,DK,19960405-4041,+45,950.447.7688x776,1996-04-05,True
Frank,Pettersen,Sætherengen 6,Sarasjøen,1782,Norge,NO,19810423-3587,+46,65 49 32 93,1981-04-23,True
Ingemar,Nilsson,Industritorget 2,Örebro,36049,Sverige,SE,19710110-1479,+46,0844-13 41 50,1971-01-10,True
Anna,Asplund,Storvägen 32,Trelleborg,19228,Sverige,SE,20000905-8184,+46,0294-435 92,2000-09-05,True
Trond,Johannessen,Edvardsenstien 8,Karendal,5389,Norge,NO,19480708-1015,+47,83 76 36 67,1948-07-08,True
Risto,Partanen,Uurtajankuja 6,Mäntyharju,41500,Finland,FI,19680720-597H,+358,+358 477600724,1968-07-20,True
